FY	SN	MODEL	DEST	CHASSIS	LCD PANEL	LCD_LABEL	LCD_VENDOR	INVERTER/LD	I_LABEL/LD_LABEL	TCON	T_LABEL	MAIN BOARD	M_LABEL	PSU	PSU_LABEL	REMOTE COMMANDER	REMOTE COMMANDER_LABEL
FY15	6000001-6800000	KDL-50W809C	CEI	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-50W809C	UKA	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6000001-6800000	KDL-55W755C	CEI	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-55W755C	UKA	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6000001-6800000	KDL-55W756C	CEI	GN1G_XMA	181208811	A55HVF6S	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-55W756C	UKA	GN1G_XMA	181208811	A55HVF6S	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6000001-6800000	KDL-55W805C	CEI	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-55W805C	UKA	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	5100001-5200000	KDL-55W805C/9	CEI	GN1G_XMA	B2B MODEL  CONTACT PSE												
FY15	6000001-6800000	KDL-55W807C	CEI	GN1G_XMA	181208811	A55HVF6S	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-55W807C	UKA	GN1G_XMA	181208811	A55HVF6S	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	7000001-7200000	KDL-55W807C	RU3	GN1G_XMA	181208811	A55HVF6S	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296111	RMT-TX100E
FY15	6000001-6800000	KDL-55W808C	CEI	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-55W808C	UKA	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	7000001-7200000	KDL-55W808C	RU3	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296111	RMT-TX100E
FY15	6000001-6800000	KDL-55W809C	CEI	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-55W809C	UKA	GN1G_XMA	181208931	A55HVF6B	AUO	189584411	55.55T26.D01	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6000001-6800000	KDL-65W855C	CEI	GN1G_XMH	A2079974A	A65HVF6B	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-65W855C	UKA	GN1G_XMH	A2079974A	A65HVF6B	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296311	RMT-TX100D
FY15	7000001-7200000	KDL-65W855C	RU3	GN1G_XMH	A2079974A	A65HVF6B	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296111	RMT-TX100E
FY15	5100001-5200000	KDL-65W855C/9	CEI	GN1G_XMH	B2B MODEL  CONTACT PSE												
FY15	6000001-6800000	KDL-65W857C	CEI	GN1G_XMH	A2079975A	A65HVF6S	AUO	N/A	N/A	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2068391A	COMPL SVC BMX_XM_AEP_T2S2 SPRO	147461011	GL1SB	149296311	RMT-TX100D
